# engine-hybrid-stack control log
sample_rate_hz=48000 frames=726000 bpm=128 beats=28
euclid_steps=11 fills=6 rotate=2 steps_per_beat=4
burst_cluster=4 spacing_samples=360 frames_per_step=5625
euclid_seed=0xc0ffee burst_seed=0xb17eb5e
events=244
index,engine,when_samples,euclid_step,burst_idx,pan,sampler_brightness,sampler_drive,resonator_bloom,resonator_feedback,granular_density,macro_pan
0,sampler,5625,1,0,0.299000,0.826166,0.588318,0.794316,0.902526,0.999519,0.868260
1,resonator,5985,1,1,0.390000,0.827859,0.587571,0.793318,0.901912,0.999515,0.868525
2,granular,6345,1,2,0.481000,0.829547,0.586823,0.792319,0.901296,0.999512,0.868791
3,sampler,6705,1,3,0.572000,0.831229,0.586076,0.791318,0.900678,0.999508,0.869056
4,resonator,16875,3,0,0.537000,0.876199,0.564994,0.762423,0.882589,0.999374,0.876378
5,granular,17235,3,1,0.628000,0.877694,0.564249,0.761380,0.881926,0.999368,0.876631
6,sampler,17595,3,2,0.719000,0.879181,0.563504,0.760335,0.881262,0.999362,0.876884
7,resonator,17955,3,3,0.810000,0.880661,0.562760,0.759288,0.880596,0.999356,0.877137
8,granular,28125,5,0,0.775000,0.919303,0.541789,0.729208,0.861194,0.999144,0.884107
9,sampler,28485,5,1,0.866000,0.920552,0.541050,0.728126,0.860486,0.999135,0.884348
10,resonator,28845,5,2,0.250000,0.921793,0.540310,0.727043,0.859777,0.999126,0.884588
11,granular,29205,5,3,0.341000,0.923026,0.539571,0.725959,0.859067,0.999117,0.884828
12,sampler,39375,7,0,0.306000,0.954156,0.518783,0.694924,0.838452,0.998813,0.891440
13,resonator,39735,7,1,0.397000,0.955123,0.518051,0.693812,0.837704,0.998801,0.891668
14,granular,40095,7,2,0.488000,0.956079,0.517319,0.692700,0.836954,0.998788,0.891896
15,sampler,40455,7,3,0.579000,0.957027,0.516588,0.691586,0.836203,0.998776,0.892123
16,resonator,45000,8,0,0.425000,0.968144,0.507379,0.677464,0.826613,0.998607,0.894956
17,granular,45360,8,1,0.516000,0.968958,0.506652,0.676340,0.825845,0.998592,0.895177
18,sampler,45720,8,2,0.607000,0.969761,0.505925,0.675216,0.825076,0.998578,0.895398
19,resonator,46080,8,3,0.698000,0.970554,0.505198,0.674091,0.824306,0.998564,0.895619
20,granular,56250,10,0,0.663000,0.988708,0.484818,0.642073,0.802074,0.998108,0.901680
21,sampler,56610,10,1,0.754000,0.989198,0.484102,0.640932,0.801271,0.998090,0.901888
22,resonator,56970,10,2,0.845000,0.989676,0.483387,0.639791,0.800467,0.998072,0.902096
23,granular,57330,10,3,0.229000,0.990144,0.482672,0.638650,0.799662,0.998054,0.902304
24,sampler,67500,12,0,0.194000,0.998896,0.462650,0.606282,0.776495,0.997499,0.907989
25,resonator,67860,12,1,0.285000,0.999046,0.461948,0.605134,0.775661,0.997477,0.908184
26,granular,68220,12,2,0.376000,0.999186,0.461246,0.603985,0.774826,0.997456,0.908379
27,sampler,68580,12,3,0.467000,0.999314,0.460545,0.602836,0.773990,0.997435,0.908573
28,resonator,78750,14,0,0.432000,0.998395,0.440950,0.570367,0.750012,0.996792,0.913878
29,granular,79110,14,1,0.523000,0.998202,0.440264,0.569219,0.749151,0.996768,0.914059
30,sampler,79470,14,2,0.614000,0.997997,0.439579,0.568071,0.748290,0.996744,0.914240
31,resonator,79830,14,3,0.705000,0.997782,0.438894,0.566923,0.747427,0.996720,0.914421
