# engine-macro-orbits control log
sample_rate_hz=48000 frames=869268 bpm=123 beats=32
euclid_steps=15 fills=9 rotate=5 steps_per_beat=8
burst_cluster=5 spacing_samples=300 frames_per_step=2926.83
euclid_seed=0xbad0bee burst_seed=0xf11ed5e
events=765
index,engine,when_samples,euclid_step,burst_idx,pan_seed,macro_orbit,macro_tilt,sampler_contour,sampler_crunch,resonator_damping,resonator_spark,granular_spray
0,resonator,2927,1,0,0.305600,0.867103,0.890761,0.880435,0.723032,0.861384,0.564668,0.907716
1,sampler,3227,1,1,0.528800,0.867006,0.891009,0.881536,0.723680,0.860904,0.562764,0.907257
2,granular,3527,1,2,0.752000,0.866908,0.891256,0.882634,0.724326,0.860424,0.560864,0.906798
3,resonator,3827,1,3,0.255200,0.866811,0.891503,0.883728,0.724973,0.859944,0.558968,0.906341
4,sampler,4127,1,4,0.478400,0.866713,0.891750,0.884817,0.725619,0.859462,0.557076,0.905884
5,sampler,8780,3,0,0.636800,0.865188,0.895537,0.901172,0.735593,0.851922,0.528315,0.898929
6,granular,9080,3,1,0.140000,0.865089,0.895779,0.902191,0.736233,0.851431,0.526501,0.898491
7,resonator,9380,3,2,0.363200,0.864990,0.896020,0.903205,0.736872,0.850939,0.524691,0.898054
8,sampler,9680,3,3,0.586400,0.864891,0.896261,0.904215,0.737511,0.850447,0.522887,0.897618
9,granular,9980,3,4,0.809600,0.864791,0.896502,0.905220,0.738149,0.849955,0.521088,0.897183
10,resonator,11707,4,0,0.802400,0.864218,0.897881,0.910919,0.741817,0.847108,0.510833,0.894713
11,sampler,12007,4,1,0.305600,0.864119,0.898120,0.911893,0.742453,0.846611,0.509070,0.894289
12,granular,12307,4,2,0.528800,0.864019,0.898358,0.912863,0.743088,0.846114,0.507312,0.893867
13,resonator,12607,4,3,0.752000,0.863919,0.898596,0.913828,0.743723,0.845617,0.505560,0.893447
14,sampler,12907,4,4,0.255200,0.863819,0.898833,0.914789,0.744357,0.845118,0.503814,0.893028
15,sampler,17561,6,0,0.413600,0.862256,0.902479,0.929083,0.754143,0.837321,0.477455,0.886781
16,granular,17861,6,1,0.636800,0.862154,0.902711,0.929964,0.754770,0.836814,0.475805,0.886395
17,resonator,18161,6,2,0.140000,0.862053,0.902943,0.930841,0.755397,0.836307,0.474162,0.886012
18,sampler,18461,6,3,0.363200,0.861951,0.903175,0.931712,0.756023,0.835799,0.472524,0.885631
19,granular,18761,6,4,0.586400,0.861850,0.903407,0.932579,0.756649,0.835290,0.470892,0.885252
20,granular,23415,8,0,0.744800,0.860262,0.906956,0.945379,0.766295,0.827335,0.446388,0.879683
21,resonator,23715,8,1,0.248000,0.860159,0.907182,0.946162,0.766913,0.826818,0.444861,0.879345
22,sampler,24015,8,2,0.471200,0.860055,0.907408,0.946940,0.767530,0.826300,0.443341,0.879010
23,granular,24315,8,3,0.694400,0.859952,0.907633,0.947712,0.768147,0.825782,0.441828,0.878677
24,resonator,24615,8,4,0.197600,0.859849,0.907858,0.948479,0.768763,0.825264,0.440321,0.878347
25,sampler,26341,9,0,0.190400,0.859253,0.909148,0.952791,0.772300,0.822272,0.431779,0.876501
26,granular,26641,9,1,0.413600,0.859149,0.909371,0.953523,0.772912,0.821750,0.430317,0.876190
27,resonator,26941,9,2,0.636800,0.859045,0.909593,0.954249,0.773525,0.821228,0.428862,0.875881
28,sampler,27241,9,3,0.140000,0.858941,0.909816,0.954970,0.774137,0.820705,0.427413,0.875575
29,granular,27541,9,4,0.363200,0.858837,0.910038,0.955686,0.774748,0.820182,0.425971,0.875273
30,granular,32195,11,0,0.521600,0.857212,0.913440,0.966093,0.784166,0.812008,0.404460,0.870948
31,resonator,32495,11,1,0.744800,0.857107,0.913657,0.966719,0.784769,0.811478,0.403129,0.870694
32,sampler,32795,11,2,0.248000,0.857001,0.913873,0.967339,0.785371,0.810947,0.401805,0.870443
33,granular,33095,11,3,0.471200,0.856896,0.914089,0.967954,0.785972,0.810415,0.400488,0.870195
34,resonator,33395,11,4,0.694400,0.856790,0.914305,0.968563,0.786573,0.809883,0.399178,0.869950
35,resonator,38049,13,0,0.852800,0.855140,0.917608,0.977289,0.795826,0.801576,0.379720,0.866550
36,sampler,38349,13,1,0.356000,0.855033,0.917819,0.977805,0.796418,0.801037,0.378522,0.866356
37,granular,38649,13,2,0.579200,0.854926,0.918028,0.978315,0.797009,0.800497,0.377330,0.866166
38,resonator,38949,13,3,0.802400,0.854819,0.918238,0.978819,0.797600,0.799958,0.376145,0.865980
