# Multi-engine Euclid ledger (sampler/resonator/granular blend)
sample_rate_hz=48000 bpm=96 beats=12 steps_per_beat=4 euclid_steps=9 euclid_fills=5 euclid_rotate=2 frames_per_step=7500 tail_frames=36000 master_seed=0xfaceaced
Columns: index,step,engine,when_samples,pan_l,pan_r,freq_hz,env_peak,macro_orbit,burst_density
0,1,resonator,7500,0.615742,0.787948,253.962406,0.764792,0.445684,0.866798
1,3,sampler,22500,0.571244,0.820780,196.141728,0.789503,0.533939,0.977668
2,5,granular,37500,0.542104,0.840312,297.249790,0.811659,0.613067,0.610870
3,6,sampler,45000,0.534391,0.845237,190.891498,0.821296,0.647487,0.352240
4,8,granular,60000,0.533764,0.845634,288.370703,0.836870,0.703109,0.012447
5,10,resonator,75000,0.552692,0.833386,240.825139,0.846661,0.738074,0.160207
6,12,sampler,90000,0.589055,0.808093,186.377905,0.850000,0.750000,0.647760
7,14,granular,105000,0.638787,0.769384,286.383283,0.846661,0.738074,0.987553
8,15,sampler,112500,0.666990,0.745067,184.853024,0.842540,0.723358,0.977668
9,17,granular,127500,0.726296,0.687382,278.595158,0.829749,0.677674,0.610870
10,19,resonator,142500,0.784528,0.620093,228.864771,0.811659,0.613067,0.133202
11,21,sampler,157500,0.836654,0.547732,175.018272,0.789503,0.533939,0.022332
12,23,granular,172500,0.879338,0.476199,271.659834,0.764792,0.445684,0.389130
13,24,sampler,180000,0.896641,0.442758,177.737905,0.752000,0.400000,0.647760
14,26,granular,195000,0.923154,0.384431,276.975482,0.726636,0.309413,0.987553
15,28,resonator,210000,0.939713,0.341965,232.992493,0.703000,0.225000,0.839793
16,30,sampler,225000,0.947642,0.319334,178.672693,0.682704,0.152513,0.352240
17,32,granular,240000,0.947879,0.318630,275.066063,0.667130,0.096891,0.012447
18,33,sampler,247500,0.945162,0.326601,179.694207,0.661460,0.076642,0.022332
19,35,granular,262500,0.933617,0.358272,283.114047,0.654838,0.052994,0.389130
20,37,resonator,277500,0.912867,0.408257,244.330585,0.654838,0.052994,0.866798
21,39,sampler,292500,0.881673,0.471861,191.465793,0.661460,0.076642,0.977668
22,41,granular,307500,0.839650,0.543127,294.793861,0.674251,0.122326,0.610870
23,42,sampler,315000,0.814890,0.579615,190.891498,0.682704,0.152513,0.352240
24,44,granular,330000,0.759574,0.650421,293.240539,0.703000,0.225000,0.012447
25,46,resonator,345000,0.700177,0.713969,248.736137,0.726636,0.309413,0.160207
normalize=0.930000 max_abs=0.287141
