# Euclid mask audio + control log
steps=16 fills=5 rotate=3 seed_id=24 master_seed=0xe0c10bad frames=57600 frames_per_step=1200
mask:X..X..X..X..X...
index,gate,when_samples,freq_hz,pan_l,pan_r,env_peak
0,1,0,156.000,0.988,0.156,0.820
1,0,1200,167.169,0.971,0.239,0.160
2,0,2400,176.739,0.948,0.319,0.160
3,1,3600,185.022,0.918,0.397,0.820
4,0,4800,192.737,0.881,0.473,0.160
5,0,6000,200.851,0.839,0.545,0.160
6,1,7200,210.328,0.790,0.613,0.820
7,0,8400,221.866,0.736,0.677,0.160
8,0,9600,235.673,0.677,0.736,0.160
9,1,10800,251.363,0.613,0.790,0.820
10,0,12000,268.007,0.545,0.839,0.160
11,0,13200,284.338,0.473,0.881,0.160
12,1,14400,299.061,0.397,0.918,0.820
13,0,15600,311.200,0.319,0.948,0.160
14,0,16800,320.379,0.239,0.971,0.160
15,0,18000,326.972,0.156,0.988,0.160
16,1,19200,149.127,0.988,0.156,0.820
17,0,20400,157.611,0.971,0.239,0.160
18,0,21600,166.695,0.948,0.319,0.160
19,1,22800,177.141,0.918,0.397,0.820
20,0,24000,189.422,0.881,0.473,0.160
21,0,25200,203.553,0.839,0.545,0.160
22,1,26400,219.039,0.790,0.613,0.820
23,0,27600,234.956,0.736,0.677,0.160
24,0,28800,250.169,0.677,0.736,0.160
25,1,30000,263.618,0.613,0.790,0.820
26,0,31200,274.619,0.545,0.839,0.160
27,0,32400,283.080,0.473,0.881,0.160
28,1,33600,289.575,0.397,0.918,0.820
29,0,34800,295.248,0.319,0.948,0.160
30,0,36000,301.549,0.239,0.971,0.160
31,0,37200,309.878,0.156,0.988,0.160
32,1,38400,144.254,0.988,0.156,0.820
33,0,39600,156.963,0.971,0.239,0.160
34,0,40800,171.096,0.948,0.319,0.160
35,1,42000,186.119,0.918,0.397,0.820
36,0,43200,201.177,0.881,0.473,0.160
37,0,44400,215.298,0.839,0.545,0.160
38,1,45600,227.661,0.790,0.613,0.820
39,0,46800,237.837,0.736,0.677,0.160
40,0,48000,245.950,0.677,0.736,0.160
41,1,49200,252.693,0.613,0.790,0.820
42,0,50400,259.194,0.545,0.839,0.160
43,0,51600,266.747,0.473,0.881,0.160
44,1,52800,276.480,0.397,0.918,0.820
45,0,54000,289.038,0.319,0.948,0.160
46,0,55200,304.372,0.239,0.971,0.160
47,0,56400,321.701,0.156,0.988,0.160
normalize=0.940
