# layered-euclid-burst control log
sample_rate_hz=48000 frames=772364 bpm=110 beats=24
euclid_steps=13 fills=7 rotate=4
burst_cluster=3 spacing_samples=420
euclid_seed=0xe0c11d burst_seed=0xb0057d
events=153
index,engine,when_samples,euclid_step,burst_idx,pan,sampler_tone,resonator_color,granular_spray
0,sampler,6545,1,0,0.355600,0.877576,0.694019,0.966506
1,resonator,6965,1,1,0.500000,0.879893,0.695238,0.965167
2,granular,7385,1,2,0.644400,0.882193,0.696456,0.963810
3,sampler,19636,3,0,0.826800,0.940615,0.731697,0.918494
4,resonator,20056,3,1,0.211200,0.942300,0.732892,0.916823
5,granular,20476,3,2,0.355600,0.943963,0.734085,0.915149
6,sampler,32727,5,0,0.538000,0.982174,0.768290,0.867084
7,resonator,33147,5,1,0.682400,0.983117,0.769438,0.865524
8,granular,33567,5,2,0.826800,0.984035,0.770584,0.863974
9,sampler,45818,7,0,0.249200,0.999552,0.803098,0.824205
10,resonator,46238,7,1,0.393600,0.999692,0.804177,0.823065
11,granular,46658,7,2,0.538000,0.999806,0.805254,0.821942
12,sampler,52364,8,0,0.484800,0.998756,0.819623,0.808421
13,resonator,52784,8,1,0.629200,0.998488,0.820661,0.807558
14,granular,53204,8,2,0.773600,0.998194,0.821695,0.806714
15,sampler,65455,10,0,0.196000,0.978260,0.850518,0.790531
16,resonator,65875,10,1,0.340400,0.977195,0.851457,0.790269
17,granular,66295,10,2,0.484800,0.976105,0.852392,0.790026
18,sampler,78545,12,0,0.667200,0.933842,0.878053,0.791189
19,resonator,78965,12,1,0.811600,0.932049,0.878874,0.791499
20,granular,79385,12,2,0.196000,0.930234,0.879692,0.791826
21,sampler,91636,14,0,0.378400,0.868380,0.901703,0.808137
22,resonator,92056,14,1,0.522800,0.865976,0.902392,0.808905
23,granular,92476,14,2,0.667200,0.863555,0.903077,0.809684
24,sampler,104727,16,0,0.849600,0.786132,0.921016,0.836831
25,resonator,105147,16,1,0.234000,0.783273,0.921559,0.837882
26,granular,105567,16,2,0.378400,0.780402,0.922098,0.838938
27,sampler,117818,18,0,0.560800,0.692440,0.935621,0.871336
28,resonator,118238,18,1,0.705200,0.689311,0.936008,0.872469
29,granular,118658,18,2,0.849600,0.686178,0.936390,0.873601
30,sampler,130909,20,0,0.272000,0.593392,0.945238,0.905533
31,resonator,131329,20,1,0.416400,0.590197,0.945462,0.906565
32,granular,131749,20,2,0.560800,0.587004,0.945680,0.907591
33,sampler,137455,21,0,0.507600,0.543864,0.948115,0.920904
34,resonator,137875,21,1,0.652000,0.540715,0.948256,0.921834
35,granular,138295,21,2,0.796400,0.537570,0.948390,0.922756
36,sampler,150545,23,0,0.218800,0.448850,0.949938,0.946113
37,resonator,150965,23,1,0.363200,0.445943,0.949909,0.946785
38,granular,151385,23,2,0.507600,0.443047,0.949875,0.947448
39,sampler,163636,25,0,0.690000,0.364298,0.946499,0.962949
40,resonator,164056,25,1,0.834400,0.361822,0.946302,0.963351
41,granular,164476,25,2,0.218800,0.359364,0.946100,0.963745
42,sampler,176727,27,0,0.401200,0.295709,0.937865,0.971746
43,resonator,177147,27,1,0.545600,0.293826,0.937503,0.971905
44,granular,177567,27,2,0.690000,0.291964,0.937137,0.972057
45,sampler,189818,29,0,0.872400,0.247540,0.924200,0.973235
46,resonator,190238,29,1,0.256800,0.246372,0.923681,0.973161
47,granular,190658,29,2,0.401200,0.245228,0.923157,0.973079
48,sampler,202909,31,0,0.583600,0.222921,0.905767,0.966827
49,resonator,203329,31,1,0.728000,0.222543,0.905100,0.966463
50,granular,203749,31,2,0.872400,0.222192,0.904429,0.966088
51,sampler,216000,33,0,0.294800,0.223451,0.882918,0.949406
52,resonator,216420,33,1,0.439200,0.223888,0.882116,0.948607
53,granular,216840,33,2,0.583600,0.224351,0.881311,0.947790
54,sampler,222545,34,0,0.530400,0.233199,0.869972,0.934869
55,resonator,222965,34,1,0.674800,0.234037,0.869109,0.933775
56,granular,223385,34,2,0.819200,0.234899,0.868241,0.932659
