# modulated-sampler control log
frames=48000 sample_rate_hz=48000
automation_stride_frames=128
frame,tone,spread,grain_lfo
0,0.575000,0.525000,0.967978
128,0.596354,0.509085,0.963820
256,0.617655,0.493188,0.959429
384,0.638847,0.477327,0.954816
512,0.659878,0.461520,0.949993
640,0.680695,0.445783,0.944975
768,0.701245,0.430136,0.939776
896,0.721476,0.414595,0.934414
1024,0.741337,0.399178,0.928906
1152,0.760778,0.383902,0.923270
1280,0.779749,0.368785,0.917526
1408,0.798203,0.353843,0.911695
1536,0.816094,0.339094,0.905797
1664,0.833375,0.324553,0.899854
1792,0.850004,0.310237,0.893887
1920,0.865937,0.296163,0.887919
2048,0.881136,0.282345,0.881970
2176,0.895562,0.268800,0.876065
2304,0.909178,0.255542,0.870223
2432,0.921949,0.242587,0.864468
2560,0.933844,0.229950,0.858821
2688,0.944833,0.217643,0.853302
2816,0.954887,0.205682,0.847933
2944,0.963982,0.194079,0.842733
3072,0.972094,0.182848,0.837721
3200,0.979202,0.172001,0.832916
3328,0.985290,0.161550,0.828336
3456,0.990342,0.151507,0.823998
3584,0.994344,0.141884,0.819919
3712,0.997286,0.132691,0.816112
3840,0.999162,0.123939,0.812594
3968,0.999967,0.115637,0.809377
4096,0.999697,0.107794,0.806474
4224,0.998355,0.100420,0.803896
4352,0.995944,0.093523,0.801654
4480,0.992469,0.087111,0.799758
4608,0.987940,0.081189,0.798215
4736,0.982367,0.075767,0.797034
4864,0.975765,0.070849,0.796221
4992,0.968151,0.066440,0.795782
5120,0.959544,0.062547,0.795720
5248,0.949965,0.059173,0.796040
5376,0.939439,0.056322,0.796743
5504,0.927993,0.053997,0.797831
5632,0.915654,0.052201,0.799303
5760,0.902455,0.050936,0.801158
5888,0.888429,0.050204,0.803394
6016,0.873611,0.050004,0.806007
6144,0.858039,0.050338,0.808992
6272,0.841752,0.051205,0.812343
6400,0.824791,0.052604,0.816052
6528,0.807199,0.054533,0.820109
6656,0.789020,0.056991,0.824504
6784,0.770300,0.059974,0.829224
6912,0.751088,0.063479,0.834257
7040,0.731430,0.067503,0.839586
7168,0.711377,0.072040,0.845195
7296,0.690980,0.077086,0.851064
7424,0.670290,0.082635,0.857173
7552,0.649359,0.088680,0.863500
7680,0.628240,0.095216,0.870022
7808,0.606987,0.102234,0.876711
7936,0.585653,0.109726,0.883542
8064,0.564292,0.117686,0.890484
8192,0.542958,0.126102,0.897508
8320,0.521705,0.134966,0.904582
8448,0.500586,0.144269,0.911671
8576,0.479656,0.153999,0.918741
8704,0.458966,0.164145,0.925756
8832,0.438570,0.174697,0.932679
8960,0.418518,0.185642,0.939471
9088,0.398862,0.196968,0.946096
